1	មករា
2	កុម្ភៈ
3	មីនា
4	មេសា
5	ឧសភា
6	មិថុនា
7	កក្កដា
8	សីហា
9	កញ្ញា
10	តុលា
11	វិច្ឆិកា
12	ធ្នូ
